"Timestamp","What's your favorite sport?","Who's the greatest athlete of all time and why?","How many sports have you played?","What's your favorite jersey number? (please enter an integer)","What is your favorite sports team?","How much do sports (watching and/or playing) effect your life?","What is the best sports drink?","How many miles on average do you think a soccer player runs in one game?"
"2026/02/26 12:46:18 PM MST","Soccer","Lionel Messi","3","8","Arsenal FC","Sports are a major part of my life","Body Armour","5"
"2026/02/26 12:46:25 PM MST","Skiing","Lindsey Vonn because she broke so many records and continuously came back after countless injuries ","4+","13","Gonzaga Basketball","Sports are a major part of my life","","7"
"2026/02/26 12:46:38 PM MST","Wrestling","Muhammod Ali, he was a great boxer","","26","","Some","Gatorade","4 miles"
"2026/02/26 12:46:42 PM MST","Volleyball","Michael Phelps - He is the most decorated athlete of all time. ","4+","3","Buffalo Bills","Sports is my life","","3"
"2026/02/26 12:46:55 PM MST","Soccer","My high school quarterback cause he was good at football and a nice guy","4+","17","","Some","the glacier cherry gatorade with that weird squirt top","8"
"2026/02/26 12:46:55 PM MST","Baseball. Its theraputic","Usain Bolt. His name blessed is ability to run fast","4+","52","","Little to none","Cuccumber gatorade","10"
"2026/02/26 12:46:57 PM MST","Lacrosse","Shedeur Sanders, because he just such a talented kid with a ton of potential. He will be one of the best! ","4+","18","Colorado Avalanche","Sports are a major part of my life","","8"
"2026/02/26 12:47:16 PM MST","Football","Muhammad Ali cause he's the goat","3","24","Seahawks","Sports are a major part of my life","Powerade","5"
"2026/02/26 12:47:59 PM MST","Volleyball","Michael Jordan because he's a legend ","4+","11","Mariners","Some","Gatorade","25"
"2026/02/26 12:48:50 PM MST","Football","Lebron James because he's been doing it for like 25 years","2","17","Blazers","I follow sports a good amount","Purple Gatorade","7"
"2026/02/26 12:48:55 PM MST","Basketball","Kross Carter","3","11","","Sports is my life","Gatorade","5"
"2026/02/26 12:49:43 PM MST","Nordic","Johannes Høsflot Klæbo cause he's my goat","4+","7","UAE","Sports are a major part of my life","Bicarb","2"
"2026/02/26 12:50:13 PM MST","Skiing","Katie Ledecky because she awesome","3","69","MN Lynx","Little to none","lemonade","8"
"2026/02/26 12:50:26 PM MST","Soccer","Taco Dowler","4+","10","Manchester City","Sports are a major part of my life","Gatorade","5"
"2026/02/26 12:51:11 PM MST","Lacrosse","Wayne Gretsky","4+","11","","I follow sports a good amount","Blue Gatorade","6"
"2026/02/26 12:51:21 PM MST","skiing","joey chesnut bc he can gobble glizzys like a garbage disposal.","4+","69","us ski team","Sports are a major part of my life","water","5"
"2026/02/26 12:51:30 PM MST","Basketball","John Cena because you can't see him","4+","5","Oregon Ducks ","Sports are a major part of my life","Any Body Armor except the normal ones ","6 or 7"
"2026/02/26 12:51:36 PM MST","tennis ","I don't know any","3","24","","Little to none","water","10"
"2026/02/26 12:52:10 PM MST","Cornhole","Pete Weber - Who do you think you are, I AM!","4+","22","The Jamaican Bobsled Team","Some","Grain alcohol","12"
"2026/02/26 12:52:12 PM MST","climbing","Sam Pruitt","3","3","cats","Little to none","","5"
"2026/02/26 12:52:44 PM MST","Rock climbing","Mason Barnocky, he is such a hunk of a man, and really inspires with with his rock climbing skills.","4+","9","FrameWorks Mountain Bike Racing","I follow sports a good amount","Gin and Tonic","6.7"
"2026/02/26 12:53:34 PM MST","swimming ","you mom","3","5","","Little to none","water","5"